Tanggal,Premium,Medium
2021-03-01,12000.0,11000.0
2021-03-02,12000.0,11000.0
2021-03-03,12000.0,11000.0
2021-03-04,12000.0,11000.0
2021-03-05,12000.0,11000.0
2021-03-06,12000.0,11000.0
2021-03-07,12000.0,11000.0
2021-03-08,12000.0,11000.0
2021-03-09,12000.0,11000.0
2021-03-10,12000.0,11000.0
2021-03-11,12000.0,11000.0
2021-03-12,12000.0,11000.0
2021-03-13,12000.0,11000.0
2021-03-14,12000.0,11000.0
2021-03-15,12000.0,11000.0
2021-03-16,12000.0,11000.0
2021-03-17,12000.0,11000.0
2021-03-18,12000.0,11000.0
2021-03-19,12000.0,11000.0
2021-03-20,12000.0,11000.0
2021-03-21,12000.0,11000.0
2021-03-22,12000.0,11000.0
2021-03-23,12000.0,11000.0
2021-03-24,12000.0,11000.0
2021-03-25,12000.0,11000.0
2021-03-26,12000.0,11000.0
2021-03-27,12000.0,11000.0
2021-03-28,12000.0,11000.0
2021-03-29,12000.0,11000.0
2021-03-30,12000.0,11000.0
2021-03-31,12000.0,11000.0
2021-04-01,12000.0,11000.0
2021-04-02,12000.0,11000.0
2021-04-03,12000.0,11000.0
2021-04-04,12000.0,11000.0
2021-04-05,12000.0,11000.0
2021-04-06,12000.0,11000.0
2021-04-07,12000.0,11000.0
2021-04-08,12000.0,11000.0
2021-04-09,12000.0,11000.0
2021-04-10,12000.0,11000.0
2021-04-11,12000.0,11000.0
2021-04-12,12000.0,11000.0
2021-04-13,12000.0,11000.0
2021-04-14,12000.0,11000.0
2021-04-15,12000.0,11000.0
2021-04-16,12000.0,11000.0
2021-04-17,12000.0,11000.0
2021-04-18,12000.0,11000.0
2021-04-19,12000.0,11000.0
2021-04-20,12000.0,11000.0
2021-04-21,12000.0,11000.0
2021-04-22,12000.0,11000.0
2021-04-23,12000.0,11000.0
2021-04-24,12000.0,11000.0
2021-04-25,12500.0,11000.0
2021-04-26,12500.0,11000.0
2021-04-27,12500.0,11000.0
2021-04-28,12500.0,11000.0
2021-04-29,12000.0,11000.0
2021-04-30,12500.0,11000.0
2021-05-01,12500.0,11000.0
2021-05-02,12500.0,11000.0
2021-05-03,12500.0,11000.0
2021-05-04,12500.0,11000.0
2021-05-05,12500.0,11000.0
2021-05-06,12500.0,11000.0
2021-05-07,12500.0,11000.0
2021-05-08,12500.0,11000.0
2021-05-09,12500.0,11000.0
2021-05-10,12500.0,11000.0
2021-05-11,12500.0,11000.0
2021-05-12,12500.0,11000.0
2021-05-13,12500.0,11000.0
2021-05-14,12500.0,11000.0
2021-05-15,12500.0,11000.0
2021-05-16,12500.0,11000.0
2021-05-17,12500.0,11000.0
2021-05-18,12500.0,11000.0
2021-05-19,12500.0,11000.0
2021-05-20,12500.0,11000.0
2021-05-21,12500.0,11000.0
2021-05-22,12500.0,11000.0
2021-05-23,12500.0,11000.0
2021-05-24,12500.0,11000.0
2021-05-25,12500.0,11000.0
2021-05-26,12500.0,11000.0
2021-05-27,12500.0,11000.0
2021-05-28,12500.0,11000.0
2021-05-29,12500.0,11000.0
2021-05-30,12500.0,11000.0
2021-05-31,12500.0,11000.0
2021-06-01,12500.0,11000.0
2021-06-02,12500.0,11000.0
2021-06-03,12500.0,11000.0
2021-06-04,12500.0,11000.0
2021-06-05,12500.0,11000.0
2021-06-06,12500.0,11000.0
2021-06-07,12500.0,11000.0
2021-06-08,12500.0,11000.0
2021-06-09,12500.0,11000.0
2021-06-10,12500.0,11000.0
2021-06-11,12500.0,11000.0
2021-06-12,12500.0,11000.0
2021-06-13,12500.0,11000.0
2021-06-14,12500.0,11000.0
2021-06-15,12500.0,11000.0
2021-06-16,12500.0,11000.0
2021-06-17,12500.0,11000.0
2021-06-18,12500.0,11000.0
2021-06-19,12500.0,11000.0
2021-06-20,12500.0,11000.0
2021-06-21,12500.0,11000.0
2021-06-22,12500.0,11000.0
2021-06-23,12500.0,11000.0
2021-06-24,12500.0,11000.0
2021-06-25,12500.0,11000.0
2021-06-26,12500.0,11000.0
2021-06-27,12500.0,11000.0
2021-06-28,12500.0,11000.0
2021-06-29,12500.0,11000.0
2021-06-30,12500.0,11000.0
2021-07-01,12500.0,11000.0
2021-07-02,12500.0,11000.0
2021-07-03,12500.0,11000.0
2021-07-04,12500.0,11000.0
2021-07-05,12500.0,11000.0
2021-07-06,12500.0,11000.0
2021-07-07,12500.0,11000.0
2021-07-08,12500.0,11000.0
2021-07-09,12500.0,11000.0
2021-07-10,12500.0,11000.0
2021-07-11,12500.0,11000.0
2021-07-12,12500.0,11000.0
2021-07-13,12500.0,11000.0
2021-07-14,12500.0,11000.0
2021-07-15,12500.0,11000.0
2021-07-16,12500.0,11000.0
2021-07-17,12500.0,11000.0
2021-07-18,12500.0,11000.0
2021-07-19,12500.0,11000.0
2021-07-20,12500.0,11000.0
2021-07-21,12500.0,11000.0
2021-07-22,12500.0,11000.0
2021-07-23,12500.0,11000.0
2021-07-24,12500.0,11000.0
2021-07-25,12500.0,11000.0
2021-07-26,12500.0,11000.0
2021-07-27,12500.0,11000.0
2021-07-28,12500.0,11000.0
2021-07-29,12500.0,11000.0
2021-07-30,12500.0,11000.0
2021-07-31,12500.0,11000.0
2021-08-01,12500.0,11000.0
